Class,card,post_id,view_count,body,text
Debugging,How do you debug react-native?,29289304,69606,How does one debug their react code with react native while the app is running in app simulator? ,How do you debug react-native? How does one debug their react code with react native while the app is running in app simulator? 
Building/Development/IDE,Unable to load script from assets index.android.bundle on windows,44446523,69429,I m trying to run my first react native project for first time on my device android 4 2 2 And I get unable to load script from assets index android bundle Commands that I used ,Unable to load script from assets index.android.bundle on windows I m trying to run my first react native project for first time on my device android 4 2 2 And I get unable to load script from assets index android bundle Commands that I used 
Network,Using an authorization header with Fetch in React Native,30203044,67162,I m trying to use in React Native to grab information from the Product Hunt API I ve obtained the proper Access Token and have saved it to State but don t seem to be able to pass it along within the Authorization header for a GET request Here s what I have so far The expectation I have for my code is the following First I will an access token with data from my imported API module After that I will set the property of to equal the access token received Then I will run which should return a response containing an array of current posts from Product Hunt I am able to verify that the access token is being received and that is receiving it as its property I am also able to verify that is being run The error I m receiving is the following I ve been working off the assumption that I m somehow not passing along the access token properly in my authorization header but don t seem to be able to figure out exactly why ,Using an authorization header with Fetch in React Native I m trying to use in React Native to grab information from the Product Hunt API I ve obtained the proper Access Token and have saved it to State but don t seem to be able to pass it along within the Authorization header for a GET request Here s what I have so far The expectation I have for my code is the following First I will an access token with data from my imported API module After that I will set the property of to equal the access token received Then I will run which should return a response containing an array of current posts from Product Hunt I am able to verify that the access token is being received and that is receiving it as its property I am also able to verify that is being run The error I m receiving is the following I ve been working off the assumption that I m somehow not passing along the access token properly in my authorization header but don t seem to be able to figure out exactly why 
Components,How can I insert a line break into a text component in React Native?,32469570,65318,I want to insert a new line like r n lt br gt in a Text component in React Native If I have Then React Native renders Is it possible render text to add a new line like so ,How can I insert a line break into a text component in React Native? I want to insert a new line like r n lt br gt in a Text component in React Native If I have Then React Native renders Is it possible render text to add a new line like so 
Building/Development/IDE,"error \Could not get BatchedBridge  make sure your bundle is packaged properly\"" on start of app""",38870710,65039,Trying to create a react native project on Android 4 4 2 I get this error screen and couldn t find any way to resolve it I tried restarting packager reconnecting device even reinstalling react native and starting new project On 6 0 0 and later versions it works just fine ,"error \Could not get BatchedBridge  make sure your bundle is packaged properly\"" on start of app"" Trying to create a react native project on Android 4 4 2 I get this error screen and couldn t find any way to resolve it I tried restarting packager reconnecting device even reinstalling react native and starting new project On 6 0 0 and later versions it works just fine "
External/OS Services,How to add icons to React Native app,34329715,63447,I am making a React Native app I would like to customize the app icon meaning the icon that you click on to start the app I have Googled this but I keep finding different types of icons that refer to different things How do I add these types of icons to the app? ,How to add icons to React Native app I am making a React Native app I would like to customize the app icon meaning the icon that you click on to start the app I have Googled this but I keep finding different types of icons that refer to different things How do I add these types of icons to the app? 
State,How to update parent's state in React?,35537229,61296,My structure looks as follows Component 3 should display some data depending on state of Component 5 Since props are immutable I can t simply save it s state in Component 1 and forward it right? And yes I ve read about redux but don t want to use it I hope that it s possible to solve it just with react Am I wrong? ,How to update parent's state in React? My structure looks as follows Component 3 should display some data depending on state of Component 5 Since props are immutable I can t simply save it s state in Component 1 and forward it right? And yes I ve read about redux but don t want to use it I hope that it s possible to solve it just with react Am I wrong? 
UI elements/Views,Get size of a View in React Native,30203154,57138,Is it possible to get the size width and height of a certain view? For example I have a view showing the progress I need to know the actual width of the view to align other views properly Is this possible? ,Get size of a View in React Native Is it possible to get the size width and height of a certain view? For example I have a view showing the progress I need to know the actual width of the view to align other views properly Is this possible? 
UI elements/Views,How to add a button in React Native?,29872918,56943,I m confused with this whole no CSS thing but I understand why it s beneficial All I want to do is place a button in the middle of the screen but I don t understand how styling works in React yet This is my code ,How to add a button in React Native? I m confused with this whole no CSS thing but I understand why it s beneficial All I want to do is place a button in the middle of the screen but I don t understand how styling works in React yet This is my code 
Network,React Native fetch() Network Request Failed,38418998,54026,When I create a brand new project using RN version 0 29 1 and put a fetch in the render method to the public facebook demo movie API it throws a There is a very useless stack trace and I can t debug network requests in the chrome console Here is the fetch I m sending ,React Native fetch() Network Request Failed When I create a brand new project using RN version 0 29 1 and put a fetch in the render method to the public facebook demo movie API it throws a There is a very useless stack trace and I can t debug network requests in the chrome console Here is the fetch I m sending 
Building/Development/IDE,Can I build Android apps with react native?,29287934,53882,The recently launched react native features just iOS app example and docs ,Can I build Android apps with react native? The recently launched react native features just iOS app example and docs 
Building/Development/IDE,How can I generate an apk that can run without server with react-native?,35935060,53137,I ve built my app I can run it on my local simulator and also on my android device within the same network by changing debug server However I want to build an apk that I can send to someone without access to development server and I want them to be able to test application I see there is a section Using offline bundle on iOS section of the documentation But I couldn t figure out how to accomplish same for android Is this possible? If so how? UPDATE On the answer to this question react native android failed to load JS bundle it is said that offline bundle can be downloaded from development server But when I obtain the bundle from development server the image files can t be loaded ,How can I generate an apk that can run without server with react-native? I ve built my app I can run it on my local simulator and also on my android device within the same network by changing debug server However I want to build an apk that I can send to someone without access to development server and I want them to be able to test application I see there is a section Using offline bundle on iOS section of the documentation But I couldn t figure out how to accomplish same for android Is this possible? If so how? UPDATE On the answer to this question react native android failed to load JS bundle it is said that offline bundle can be downloaded from development server But when I obtain the bundle from development server the image files can t be loaded 
Animations/visuals/styles,React Native fixed footer,29447715,52653,I try to create react native app that looks like existing web app I have a fixed footer at bottom of window Do anyone have idea how this can be achieved with react native? in existing app it s simple ,React Native fixed footer I try to create react native app that looks like existing web app I have a fixed footer at bottom of window Do anyone have idea how this can be achieved with react native? in existing app it s simple 
UI elements/Views,react-native: hide keyboard,29685421,51991,EDIT I really appreciate all the answers and comments that are still coming in after quite some time Sadly I am not able to check all of them as I don t have enough time currently to work with react native Please up vote new and helpful answers and mention them in the comments so that I will be able to mark the most helpful one This might be a really silly question but I have the feeling that the whole react native community knows how to do this and I can t figure it out My goal is simple If I tap onto a textinput I want to be able to tap somewhere else in order to dismiss the keyboard again not the return key though This problem drives me a little bit crazy since I haven t found the slightest piece of information concerning this in all the tutorials and blog posts that I read I m sure the solution is pretty straightforward Hope someone can help me with that! Update This basic example is still not working for me with react native 0 4 2 in the Simulator Couldn t try it on my iPhone yet ,react-native: hide keyboard EDIT I really appreciate all the answers and comments that are still coming in after quite some time Sadly I am not able to check all of them as I don t have enough time currently to work with react native Please up vote new and helpful answers and mention them in the comments so that I will be able to mark the most helpful one This might be a really silly question but I have the feeling that the whole react native community knows how to do this and I can t figure it out My goal is simple If I tap onto a textinput I want to be able to tap somewhere else in order to dismiss the keyboard again not the return key though This problem drives me a little bit crazy since I haven t found the slightest piece of information concerning this in all the tutorials and blog posts that I read I m sure the solution is pretty straightforward Hope someone can help me with that! Update This basic example is still not working for me with react native 0 4 2 in the Simulator Couldn t try it on my iPhone yet 
Animations/visuals/styles,How can you float: right in React Native?,32030050,50088,I have an element that I want to float right for example How can the be floated aligned to the right? Also why does the take up the full space of the instead of just the space for Hello ? ,How can you float: right in React Native? I have an element that I want to float right for example How can the be floated aligned to the right? Also why does the take up the full space of the instead of just the space for Hello ? 
Animations/visuals/styles,Can I make dynamic styles in React Native?,29363671,49511,Say I have a component with a render like this Where jewelStyle How could I make the background colour dynamic and randomly assigned? I ve tried But this makes all instances of View have the same colour I want to have each one individual Any tips? ,Can I make dynamic styles in React Native? Say I have a component with a render like this Where jewelStyle How could I make the background colour dynamic and randomly assigned? I ve tried But this makes all instances of View have the same colour I want to have each one individual Any tips? 
Filesystems / Database,How to fetch data from local JSON file on react native?,29452822,48745,How can I store local files such as JSON and then fetch the data from controller? ,How to fetch data from local JSON file on react native? How can I store local files such as JSON and then fetch the data from controller? 
Debugging,"React-Native, Android, Genymotion: ADB server didn't ACK",35959350,47478,I am working with React Native Android and Genymotion on Mac When I run I get this lines at the end of the launch operation However returns this So far I ve found no solution to run my app on the emulator Has anyone encountered the same issue? Thanks Paul ,"React-Native, Android, Genymotion: ADB server didn't ACK I am working with React Native Android and Genymotion on Mac When I run I get this lines at the end of the launch operation However returns this So far I ve found no solution to run my app on the emulator Has anyone encountered the same issue? Thanks Paul "
Animations/visuals/styles,How to set background color of view transparent in React Native,31336569,46104,This is the style of the view that i have used Currently it has a white background I can change the backgroundColor as i want like but it accepts only max 6 hexvalue for color so I cannot give opacity on that like I tried using opacity like this but it reduces visibility of view s content So any answers? ,How to set background color of view transparent in React Native This is the style of the view that i have used Currently it has a white background I can change the backgroundColor as i want like but it accepts only max 6 hexvalue for color so I cannot give opacity on that like I tried using opacity like this but it reduces visibility of view s content So any answers? 
UI elements/Views,"React Native: How to select the next TextInput after pressing the \next\"" keyboard button?""",32748718,45964,I defined two TextInput fields as follows But after pressing the next button on my keyboard my react native app isn t jumping to the second TextInput field How can I achieve that? Thanks! ,"React Native: How to select the next TextInput after pressing the \next\"" keyboard button?"" I defined two TextInput fields as follows But after pressing the next button on my keyboard my react native app isn t jumping to the second TextInput field How can I achieve that? Thanks! "
Animations/visuals/styles,ReactNative: how to center text?,37571418,45716,How to center Text in ReactNative both in horizontal and vertical? I have an example application in rnplay org where justifyContent center and alignItems center is not working https rnplay org apps AoxNKQ The text should being centered And why is there a margin at the top between the text yellow and parent container? Code ,ReactNative: how to center text? How to center Text in ReactNative both in horizontal and vertical? I have an example application in rnplay org where justifyContent center and alignItems center is not working https rnplay org apps AoxNKQ The text should being centered And why is there a margin at the top between the text yellow and parent container? Code 
VCS/NPM,How to check the installed version of React-Native,37363560,44728,I m going to upgrade react native but before I do I need to know which version I m upgrading from to see if there are any special notes about upgrading from my version How do I find the version of react native I have installed on my Mac? ,How to check the installed version of React-Native I m going to upgrade react native but before I do I need to know which version I m upgrading from to see if there are any special notes about upgrading from my version How do I find the version of react native I have installed on my Mac? 
Animations/visuals/styles,Make view 80% width of parent in React Native,33939974,44231,I m creating a form in React Native and would like to make my s 80 of the screen width With HTML and ordinary CSS this would be straightforward Except that React Native doesn t support the property percentage widths or auto margins So what should I do instead? There s some discussion of this problem in React Native s issue tracker but the proposed solutions seem like nasty hacks ,Make view 80% width of parent in React Native I m creating a form in React Native and would like to make my s 80 of the screen width With HTML and ordinary CSS this would be straightforward Except that React Native doesn t support the property percentage widths or auto margins So what should I do instead? There s some discussion of this problem in React Native s issue tracker but the proposed solutions seem like nasty hacks 
Animations/visuals/styles,Absolute and Flexbox in React Native,29541971,43771,I would like to put a white bar which would take the all width at the bottom of the screen To do so I thought about using positioning with the inherited parameters With the code following it renders something like this Here is my code I m new in styling in CSS and not all the properties are available in React Native So any help is appreciated thanks ,Absolute and Flexbox in React Native I would like to put a white bar which would take the all width at the bottom of the screen To do so I thought about using positioning with the inherited parameters With the code following it renders something like this Here is my code I m new in styling in CSS and not all the properties are available in React Native So any help is appreciated thanks 
FlatList/ListView/ScrollView,"Warning: Each child in an array or iterator should have a unique \key\"" prop. Check the render method of `ListView`""",34576332,43470,I built an app with ReactNative both for iOS and android with a ListView When populating the listview with a valid datasource the following warning is printed at the bottom of the screen Warning Each child in an array or iterator should have a unique key prop Check the render method of What is the purpose of this warning? After the message they link to the following page https fb me react warning keys where complete different things are discussed which have nothing to do with react native but with web based reactjs My ListView is built with those statements My DataSource consists of something like And the ListView Rows are rendered with stuff like Everything works fine and as expected except the warning which seems to be complete nonsense to me Adding a key property to my DetailItem Class didn t solve the issue This is what really will be passed to the ListView as a result of cloneWithRows As one key see each record has a key property The warning still exists ,"Warning: Each child in an array or iterator should have a unique \key\"" prop. Check the render method of `ListView`"" I built an app with ReactNative both for iOS and android with a ListView When populating the listview with a valid datasource the following warning is printed at the bottom of the screen Warning Each child in an array or iterator should have a unique key prop Check the render method of What is the purpose of this warning? After the message they link to the following page https fb me react warning keys where complete different things are discussed which have nothing to do with react native but with web based reactjs My ListView is built with those statements My DataSource consists of something like And the ListView Rows are rendered with stuff like Everything works fine and as expected except the warning which seems to be complete nonsense to me Adding a key property to my DetailItem Class didn t solve the issue This is what really will be passed to the ListView as a result of cloneWithRows As one key see each record has a key property The warning still exists "
FlatList/ListView/ScrollView,React-Native Updating List View DataSource,31738671,41605,I have an iOS app I am making with react native The Game class contains a ListView component I set the state in the constructor and include a I have a hardcoded array of data for right now that I store in a different state property Then in the I use the method to clone my as my dataSource for the view That is pretty standard as far as ListViews go and is working well Here is the code The issue I am having comes in the method When the user presses the row I would like the selection to change and for it to render the change on the device Through some debugging I have noticed that even though I am changing the property of the object in the array the same property changes on the object in and similarly changes the object in Through further debugging I have found that since those other arrays have changed the ListView s DataSource object doesn t recognize the change because when I set the state and is called the array it is cloning matches the array and so it doesn t look like a change and doesn t rerender Any ideas? ,React-Native Updating List View DataSource I have an iOS app I am making with react native The Game class contains a ListView component I set the state in the constructor and include a I have a hardcoded array of data for right now that I store in a different state property Then in the I use the method to clone my as my dataSource for the view That is pretty standard as far as ListViews go and is working well Here is the code The issue I am having comes in the method When the user presses the row I would like the selection to change and for it to render the change on the device Through some debugging I have noticed that even though I am changing the property of the object in the array the same property changes on the object in and similarly changes the object in Through further debugging I have found that since those other arrays have changed the ListView s DataSource object doesn t recognize the change because when I set the state and is called the array it is cloning matches the array and so it doesn t look like a change and doesn t rerender Any ideas? 
Navigation,Example of Navigation between views in React Native Android?,32918666,41222,After check the React Native documentation I still don t understand the best way to create views and navigate between different components I don t want to use any external components like https github com Kureev react native navbar https github com 23c react native transparent bar https github com superdami react native custom navigation I don t need a Navigation bar i just want to set views and slide left right o pop a view nothing more I know is something basic but I can t find any helpful example Please anyone can help me? Any functional example in https rnplay org ? Thank you ,Example of Navigation between views in React Native Android? After check the React Native documentation I still don t understand the best way to create views and navigate between different components I don t want to use any external components like https github com Kureev react native navbar https github com 23c react native transparent bar https github com superdami react native custom navigation I don t need a Navigation bar i just want to set views and slide left right o pop a view nothing more I know is something basic but I can t find any helpful example Please anyone can help me? Any functional example in https rnplay org ? Thank you 
Animations/visuals/styles,Render text box with transparent background on top of image in React Native iOS,29300732,40922,I m trying to render a block with white text on top of an image in my testing of React Native But instead i get a black block on top of my image with white text in it Not what I had expected How do you render a text block with transparent background? Current result Render function Stylesheet function ,Render text box with transparent background on top of image in React Native iOS I m trying to render a block with white text on top of an image in my testing of React Native But instead i get a black block on top of my image with white text in it Not what I had expected How do you render a text block with transparent background? Current result Render function Stylesheet function 
Animations/visuals/styles,Image resizing in React Native,29476165,40251,I am trying to resize an image smaller to fit screen in my react native app but am unable to do it as it is too big Here is the code I tried to take it out of the container tag but cannot seem to understand why it will not render properly? Can this be done with flexbox resizeMode? How do you do it? I can t find any docs on it ,Image resizing in React Native I am trying to resize an image smaller to fit screen in my react native app but am unable to do it as it is too big Here is the code I tried to take it out of the container tag but cannot seem to understand why it will not render properly? Can this be done with flexbox resizeMode? How do you do it? I can t find any docs on it 
FlatList/ListView/ScrollView,Get current scroll position of ScrollView in React Native,29503252,39533,Is it possible to get the current scroll position or the current page of a component in React Native? So something like ,Get current scroll position of ScrollView in React Native Is it possible to get the current scroll position or the current page of a component in React Native? So something like 
Animations/visuals/styles,React Native Border Radius with background color,35030758,39501,In React Native is working but the background color given to the button stays a square What is going on here? JS Style ,React Native Border Radius with background color In React Native is working but the background color given to the button stays a square What is going on here? JS Style 
UI elements/Views,How to auto-slide the window out from behind keyboard when TextInput has focus?,29313244,39034,I ve seen this hack for native apps to auto scroll the window but wondering best way to do it for react native When a field gets focus and is positioned low in the view the keyboard will cover up the text field You can see this issue in example UIExplorer s TextInputExample js view Any one have a good solution? ,How to auto-slide the window out from behind keyboard when TextInput has focus? I ve seen this hack for native apps to auto scroll the window but wondering best way to do it for react native When a field gets focus and is positioned low in the view the keyboard will cover up the text field You can see this issue in example UIExplorer s TextInputExample js view Any one have a good solution? 
Network,React Native: Possible unhandled promise rejection,38842499,38370,I m getting the following error Here s the promise code I don t see what s wrong here any ideas? Edit I added a catch function and got a better error Here s the index ios js code The url is fine and giving me the correct json data I can see with console log that both and are available in But is undefined I m still not sure what s going on why there s a problem with and why it s undefined ,React Native: Possible unhandled promise rejection I m getting the following error Here s the promise code I don t see what s wrong here any ideas? Edit I added a catch function and got a better error Here s the index ios js code The url is fine and giving me the correct json data I can see with console log that both and are available in But is undefined I m still not sure what s going on why there s a problem with and why it s undefined 
Building/Development/IDE,React-Native: Module AppRegistry is not a registered callable module,34969858,38256,I m currently trying to get the ES6 react native webpack server running on an Android emulator The difference is I ve upgraded my and to use react and am getting this error on boot As far as I m aware is imported correctly Even if I were to comment out the code this error still comes up This does work on iOS without issue What am I doing wrong? EDIT After trying other boilerplates that do support 0 18 0 I m still coming across the same issue ,React-Native: Module AppRegistry is not a registered callable module I m currently trying to get the ES6 react native webpack server running on an Android emulator The difference is I ve upgraded my and to use react and am getting this error on boot As far as I m aware is imported correctly Even if I were to comment out the code this error still comes up This does work on iOS without issue What am I doing wrong? EDIT After trying other boilerplates that do support 0 18 0 I m still coming across the same issue 
Animations/visuals/styles,How do I render a shadow?,29323544,36857,How do I render a shadow on a View? I ve tried many combinations of shadowColor shadowOffset shadowOpacity and shadowRadius which seem to do nothing I am sure the style is applied correctly since other attributes I ve set work ,How do I render a shadow? How do I render a shadow on a View? I ve tried many combinations of shadowColor shadowOffset shadowOpacity and shadowRadius which seem to do nothing I am sure the style is applied correctly since other attributes I ve set work 
UI elements/Views,react native get TextInput value,32913338,36543,I am stuck with a very simple problem I have login form with username password and button In my button handler I try to get the textinput value But always get undefined value Am I missing something? ,react native get TextInput value I am stuck with a very simple problem I have login form with username password and button In my button handler I try to get the textinput value But always get undefined value Am I missing something? 
UI elements/Views,Use <Image> with a local file,29290460,36158,The documentation says that the only way to reference a static image is to use require But I m not sure where does react expect to have those images The examples don t have any domain so it seems like you have to go to Xcode and add them to Images xcassets but that didn t work for me ,Use <Image> with a local file The documentation says that the only way to reference a static image is to use require But I m not sure where does react expect to have those images The examples don t have any domain so it seems like you have to go to Xcode and add them to Images xcassets but that didn t work for me 
Building/Development/IDE,Build and Install unsigned apk on device without the development server?,35283959,36081,As I am new in react native so if there is anything wrong in steps let me know I have build a react native android app using the command as per documentation react native android while running on device the following command was used react native run android which gives me the output of 2 apk files in my projectfolder android app build outputs apk now when I use to install this apk after the installation it ask for an development server to connect to bundle the JS But my requirement is that the user doesn t have to struggle with the development server just he needs to install the apk and everything is done Have gone through some stackoverflow Questions but not helpful to build unsigned apk which doesn t require development server Can you guys help me finding the way that how to build and unsigned apk in react native? ,Build and Install unsigned apk on device without the development server? As I am new in react native so if there is anything wrong in steps let me know I have build a react native android app using the command as per documentation react native android while running on device the following command was used react native run android which gives me the output of 2 apk files in my projectfolder android app build outputs apk now when I use to install this apk after the installation it ask for an development server to connect to bundle the JS But my requirement is that the user doesn t have to struggle with the development server just he needs to install the apk and everything is done Have gone through some stackoverflow Questions but not helpful to build unsigned apk which doesn t require development server Can you guys help me finding the way that how to build and unsigned apk in react native? 
Debugging,Run react-native on android emulator,38577669,36064,I try to run react native app on genymotion android emulator on my mac When I write It gets Then I ve tried The same result Then I ve tried The same result I ve tried just and it says When I try to run app on android sdk emulator it gets the same error above but without From android studio I can run this app and it works on genymotion Tell me please what should I do to run my app on android emulator? ,Run react-native on android emulator I try to run react native app on genymotion android emulator on my mac When I write It gets Then I ve tried The same result Then I ve tried The same result I ve tried just and it says When I try to run app on android sdk emulator it gets the same error above but without From android studio I can run this app and it works on genymotion Tell me please what should I do to run my app on android emulator? 
Debugging,"How do I \shake\"" an Android device within the Android emulator to bring up the dev menu to debug my React Native app""",32914665,35355,I am working on a cross platform React Native mobile app I am writing console log statements as I develop I want to see these logging statements in Chrome while I m running the Android app in the default Android emulator According to Facebook s docs I just need to shake the device How do I do this in the Android emulator? To access the in app developer menu On iOS shake the device or press control z in the simulator On Android shake the device or press hardware menu button available on older gt devices and in most of the emulators e g in genymotion you can press m to gt simulate hardware menu button click ,"How do I \shake\"" an Android device within the Android emulator to bring up the dev menu to debug my React Native app"" I am working on a cross platform React Native mobile app I am writing console log statements as I develop I want to see these logging statements in Chrome while I m running the Android app in the default Android emulator According to Facebook s docs I just need to shake the device How do I do this in the Android emulator? To access the in app developer menu On iOS shake the device or press control z in the simulator On Android shake the device or press hardware menu button available on older gt devices and in most of the emulators e g in genymotion you can press m to gt simulate hardware menu button click "
Building/Development/IDE,"\Invariant Violation: Application AwesomeProject has not been registered\"" When building for iOS device with static jsbundle""",29287987,35106,First off I don t know react but I figured deploying to an iOS device instead of the simulator wouldn t be too difficult to do with the docs They were a bit sparse but I got somewhere and now I m stuck I created a main jsbundle and added it to the Xcode project and uncommented the line in AppDelegate m When I deploy it I get this error ,"\Invariant Violation: Application AwesomeProject has not been registered\"" When building for iOS device with static jsbundle"" First off I don t know react but I figured deploying to an iOS device instead of the simulator wouldn t be too difficult to do with the docs They were a bit sparse but I got somewhere and now I m stuck I created a main jsbundle and added it to the Xcode project and uncommented the line in AppDelegate m When I deploy it I get this error "
Building/Development/IDE,React Native on Android failed to find Build Tools,33155087,34995,What causes following problem? Is my Android SDK Version not supported? ,React Native on Android failed to find Build Tools What causes following problem? Is my Android SDK Version not supported? 
Building/Development/IDE,React-Native: Application has not been registered error,38340360,34821,I am currently going through the React Native tutorials I began with the Getting Started tutorial where I made a new react native project and successfully managed to run the project on my device I then started the Props tutorial I copied the code snippet and tried to run the project again and had the following error message show up on my screen ,React-Native: Application has not been registered error I am currently going through the React Native tutorials I began with the Getting Started tutorial where I made a new react native project and successfully managed to run the project on my device I then started the Props tutorial I copied the code snippet and tried to run the project again and had the following error message show up on my screen 
Filesystems / Database,How can I access local database on react native?,29313898,34510,We often access a local sqlite database when we developing an app What is the counterpart in react native? Do I have to use AsyncStorage to store data without a native module? ,How can I access local database on react native? We often access a local sqlite database when we developing an app What is the counterpart in react native? Do I have to use AsyncStorage to store data without a native module? 
